gameid,leagid,leagyear,weeknum,gamedate,awayid,atmloc,aconfid,aconf,adivid,adivname,homeid,htmloc,hconfid,hconf,hdivid,hdivname,ascore,hscore,spread,ou,totalou,favid,dogid,winteamid,loseteamid,isconf,isdiv,ot,so,lineoutcomeid,lineoutcome,totaloutcomeid,totaloutcome,siteloc,gametypeid
1202492,1,2024,6,2024-10-14 00:00:00,9,Buffalo,7,American,5,East,13,New York-A,7,American,5,East,23,20,1.0,41.0,43.0,9,13,9,13,1,1,0,0,3,favorite win and cover,6,over,1,1
1202493,1,2024,7,2024-10-17 00:00:00,14,Denver,7,American,14,West,7,New Orleans,6,National,8,South,33,10,3.0,37.0,43.0,14,7,14,7,0,0,0,0,3,favorite win and cover,6,over,1,1
1202494,1,2024,7,2024-10-20 00:00:00,11,New England,7,American,5,East,25,Jacksonville,7,American,8,South,16,32,5.5,42.5,48.0,25,11,25,11,1,0,0,0,3,favorite win and cover,6,over,2,1
1202495,1,2024,7,2024-10-20 00:00:00,67,Seattle,6,National,14,West,5,Atlanta,6,National,8,South,34,14,3.0,52.0,48.0,5,67,67,5,1,0,0,0,2,dog win and cover,5,under,1,1
1202496,1,2024,7,2024-10-20 00:00:00,26,Tennessee,7,American,8,South,9,Buffalo,7,American,5,East,10,34,9.5,41.0,44.0,9,26,9,26,1,0,0,0,3,favorite win and cover,6,over,1,1
1202497,1,2024,7,2024-10-20 00:00:00,19,Cincinnati,7,American,4,North,20,Cleveland,7,American,4,North,21,14,5.5,41.5,35.0,19,20,19,20,1,1,0,0,3,favorite win and cover,5,under,1,1
1202498,1,2024,7,2024-10-20 00:00:00,22,Houston,7,American,8,South,3,Green Bay,6,National,4,North,22,24,3.0,47.5,46.0,3,22,3,22,0,0,0,0,4,dog cover | favorite win,5,under,1,1
1202499,1,2024,7,2024-10-20 00:00:00,10,Miami,7,American,5,East,24,Indianapolis,7,American,8,South,10,16,3.0,43.5,26.0,24,10,24,10,1,0,0,0,3,favorite win and cover,5,under,1,1
12024100,1,2024,7,2024-10-20 00:00:00,2,Detroit,6,National,4,North,4,Minnesota,6,National,4,North,31,29,1.0,50.5,60.0,4,2,2,4,1,1,0,0,2,dog win and cover,6,over,1,1
12024101,1,2024,7,2024-10-20 00:00:00,1,Philadelphia,6,National,5,East,23,New York-N,6,National,5,East,28,3,3.0,42.5,31.0,1,23,1,23,1,1,0,0,3,favorite win and cover,5,under,1,1
12024102,1,2024,7,2024-10-20 00:00:00,16,Las Vegas,7,American,14,West,76,Los Angeles-N,6,National,14,West,15,20,7.5,43.5,35.0,76,16,76,16,0,0,0,0,4,dog cover | favorite win,5,under,1,1
12024103,1,2024,7,2024-10-20 00:00:00,6,Carolina,6,National,8,South,34,Washington,6,National,5,East,7,40,9.5,51.5,47.0,34,6,34,6,1,0,0,0,3,favorite win and cover,5,under,1,1
12024104,1,2024,7,2024-10-20 00:00:00,15,Kansas City,7,American,14,West,56,San Francisco,6,National,14,West,28,18,1.5,47.0,46.0,56,15,15,56,0,0,0,0,2,dog win and cover,5,under,1,1
12024105,1,2024,7,2024-10-20 00:00:00,13,New York-A,7,American,5,East,21,Pittsburgh,7,American,4,North,15,37,2.5,39.0,52.0,13,21,21,13,1,0,0,0,2,dog win and cover,6,over,1,1
12024106,1,2024,7,2024-10-21 00:00:00,18,Baltimore,7,American,4,North,8,Tampa Bay,6,National,8,South,41,31,3.5,49.5,72.0,18,8,18,8,0,0,0,0,3,favorite win and cover,6,over,1,1
12024107,1,2024,7,2024-10-21 00:00:00,17,Los Angeles-A,7,American,14,West,45,Arizona,6,National,14,West,15,17,2.0,44.5,32.0,17,45,45,17,0,0,0,0,2,dog win and cover,5,under,1,1
12024108,1,2024,8,2024-10-24 00:00:00,4,Minnesota,6,National,4,North,76,Los Angeles-N,6,National,14,West,20,30,3.0,48.0,50.0,4,76,76,4,1,0,0,0,2,dog win and cover,6,over,1,1
12024109,1,2024,8,2024-10-27 00:00:00,18,Baltimore,7,American,4,North,20,Cleveland,7,American,4,North,24,29,8.5,45.0,53.0,18,20,20,18,1,1,0,0,2,dog win and cover,6,over,1,1
12024110,1,2024,8,2024-10-27 00:00:00,26,Tennessee,7,American,8,South,2,Detroit,6,National,4,North,14,52,11.5,44.5,66.0,2,26,2,26,0,0,0,0,3,favorite win and cover,6,over,1,1
12024111,1,2024,8,2024-10-27 00:00:00,45,Arizona,6,National,14,West,10,Miami,7,American,5,East,28,27,4.5,46.0,55.0,10,45,45,10,0,0,0,0,2,dog win and cover,6,over,1,1
12024112,1,2024,8,2024-10-27 00:00:00,13,New York-A,7,American,5,East,11,New England,7,American,5,East,22,25,7.0,41.0,47.0,13,11,11,13,1,1,0,0,2,dog win and cover,6,over,1,1
12024113,1,2024,8,2024-10-27 00:00:00,5,Atlanta,6,National,8,South,8,Tampa Bay,6,National,8,South,31,26,2.5,46.0,57.0,5,8,5,8,1,1,0,0,3,favorite win and cover,6,over,1,1
12024114,1,2024,8,2024-10-27 00:00:00,77,Chicago,6,National,4,North,34,Washington,6,National,5,East,15,18,1.0,46.0,33.0,34,77,34,77,1,0,0,0,3,favorite win and cover,5,under,1,1
12024115,1,2024,8,2024-10-27 00:00:00,3,Green Bay,6,National,4,North,25,Jacksonville,7,American,8,South,30,27,3.5,49.5,57.0,3,25,3,25,0,0,0,0,4,dog cover | favorite win,6,over,1,1
12024116,1,2024,8,2024-10-27 00:00:00,24,Indianapolis,7,American,8,South,22,Houston,7,American,8,South,20,23,5.0,45.5,43.0,22,24,22,24,1,1,0,0,4,dog cover | favorite win,5,under,1,1
12024117,1,2024,8,2024-10-27 00:00:00,7,New Orleans,6,National,8,South,17,Los Angeles-A,7,American,14,West,8,26,7.0,41.0,34.0,17,7,17,7,0,0,0,0,3,favorite win and cover,5,under,1,1
12024118,1,2024,8,2024-10-27 00:00:00,9,Buffalo,7,American,5,East,67,Seattle,6,National,14,West,31,10,3.0,45.0,41.0,9,67,9,67,0,0,0,0,3,favorite win and cover,5,under,1,1
12024119,1,2024,8,2024-10-27 00:00:00,1,Philadelphia,6,National,5,East,19,Cincinnati,7,American,4,North,37,17,2.5,48.0,54.0,19,1,1,19,0,0,0,0,2,dog win and cover,6,over,1,1
12024120,1,2024,8,2024-10-27 00:00:00,6,Carolina,6,National,8,South,14,Denver,7,American,14,West,14,28,11.0,41.0,42.0,14,6,14,6,0,0,0,0,3,favorite win and cover,6,over,1,1
12024121,1,2024,8,2024-10-27 00:00:00,15,Kansas City,7,American,14,West,16,Las Vegas,7,American,14,West,27,20,9.5,41.5,47.0,15,16,15,16,1,1,0,0,4,dog cover | favorite win,6,over,1,1
12024122,1,2024,8,2024-10-27 00:00:00,12,Dallas,6,National,5,East,56,San Francisco,6,National,14,West,24,30,4.5,47.0,54.0,56,12,56,12,1,0,0,0,3,favorite win and cover,6,over,1,1
12024123,1,2024,8,2024-10-28 00:00:00,23,New York-N,6,National,5,East,21,Pittsburgh,7,American,4,North,18,26,6.0,36.5,44.0,21,23,21,23,0,0,0,0,3,favorite win and cover,6,over,1,1
